id,numerozona,nomezona,numeromuni,nomemunici,numdistrit,nomedistri,area_ha_2,nome,domicilios,familias,populacao,matriculas,empregos,automoveis,viagens_produzidas,viagens_atraidas,renda_total,renda_media_familiar,renda_per_capita,renda_mediana_familiar,nenhum_auto,1_auto,2_auto,3_ou_mais_auto,total_familias,area_arbor,area_arb_1,indicador_massa_arborea,centroid_lat,centroid_long
275,275,Cidade Vargas,36,São Paulo,37,Jabaquara,"347,45",Cidade Vargas,14450,14450,38239,12671,24388,11997,113179,112412,85704103,5931,2241,4949,5171,7069,1971,238,14450,"85,514736465579",855147,"0,246120985654278","-23,640859396022","-46,6347574771189"
278,278,Jardim Miriam,36,São Paulo,22,Cidade Ademar,"513,94",Jardim Miriam,44813,44993,138839,22532,21666,19502,209678,209824,120129463,2670,865,2500,26994,15671,2328,0,44993,"40,5095659542256",405096,"0,078821586088309","-23,6788410310243","-46,6446043320487"
280,280,Jurubatuba,36,São Paulo,16,Campo Grande,"482,59",Jurubatuba,7300,7300,20114,11245,28167,6565,78495,78829,40064239,5488,1992,4443,3023,2194,1954,129,7300,"133,184823007572",1331848,"0,275979243265654","-23,6710095863456","-46,6968590052074"
290,290,SESC Interlagos,36,São Paulo,23,Cidade Dutra,"736,48",SESC Interlagos,17283,17283,56065,8959,9715,7440,89885,90077,50471812,2920,900,2733,10300,6618,366,0,17283,"231,088442198602",2310884,"0,313774226317893","-23,7179617260854","-46,6799750548042"
282,282,Campo Grande,36,São Paulo,16,Campo Grande,"272,36",Campo Grande,11639,11749,33790,10041,22802,9296,86888,86725,41280190,3513,1222,3200,3944,6525,1280,0,11749,"56,1815462227343",561815,"0,206276788892401","-23,680055540939","-46,6755263851654"
284,284,Mar Paulista,36,São Paulo,59,Pedreira,"548,66",Mar Paulista,16660,16660,51001,14011,13017,9405,81974,82308,54448823,3268,1068,2800,8752,6357,1551,0,16660,"137,25843911236",1372584,"0,250170304218205","-23,6966789215993","-46,6643648639956"
285,285,Pedreira,36,São Paulo,59,Pedreira,"1302,69",Pedreira,34131,34131,106280,19409,27386,12170,169615,170041,85807284,2514,807,2202,22311,11478,342,0,34131,"489,841261059021",4898413,"0,376022891907531","-23,7111489199649","-46,6438060188652"
286,286,Vila Socorro,36,São Paulo,81,Socorro,"293,26",Vila Socorro,3296,3353,9119,4957,19341,2167,50861,50509,14017248,4181,1537,3778,1657,1407,155,134,3353,"64,5034226372812",645034,"0,219953019972997","-23,6685956319429","-46,7153822522308"
288,288,Jardim Represa,36,São Paulo,23,Cidade Dutra,"783,73",Jardim Represa,7074,7074,21830,13030,8850,2541,49835,50035,21106098,2984,967,2884,4868,1775,344,87,7074,"285,213368945625",2852134,"0,363917891296269","-23,7243550879133","-46,7163833082467"
289,289,Rio Bonito,36,São Paulo,23,Cidade Dutra,"495,82",Rio Bonito,15255,15255,47549,12315,21065,10137,94814,95685,59684601,3912,1255,3570,7351,5018,2429,457,15255,"131,661858796194",1316619,"0,265543662611823","-23,7094010183304","-46,6963380662465"
